Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
73.1,3,0.15,24,88,0.51,4.57,73.1,0.51,-34,0.47
67,8,0.15,23.4,85,0.49,3.93,67,0.41,-45,0.47
67,8,0.16,20.8,89,0.47,3.73,67,0.46,-32,0.47
67.8,7,0.15,20.6,92,0.50,3.87,67.8,0.47,-31,0.47
68.7,4,0.15,21.6,90,0.54,4.02,68.7,0.43,-35,0.47
70.4,0,0.15,20.7,94,0.61,4.4,70.4,0.46,-32,0.47
68.4,5,0.15,20.6,99,0.60,4.04,68.4,0.48,-27,0.47
68.3,10,0.15,20.2,96,0.56,3.98,68.3,0.46,-34,0.47
64.7,6,0.15,20.7,88,0.55,3.57,64.7,0.44,-40,0.47
69.6,9,0.16,20.2,95,0.52,4.03,69.6,0.47,-37,0.47
64,8,0.15,19.9,88,0.51,3.49,64,0.46,-31,0.47
68.7,10,0.15,20.5,100,0.61,4.08,68.7,0.48,-30,0.47
65,10,0.15,18.9,87,0.45,3.56,65,0.47,-29,0.47
69.6,8,0.15,20.8,94,0.51,4.18,69.6,0.49,-34,0.47
69.1,10,0.16,19.7,92,0.48,3.97,69.1,0.46,-30,0.47
